,Question_no,signal1,bag1,bag1_ado_id,bag1_start_absolute,bag1_end_absolute,signal2,bag2,bag2_ado_id,bag2_start_absolute,bag2_end_absolute
29,29,1,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000126.0,1689289318.8153431,1689289324.7402954,7,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000135.0,1689287673.8520277,1689287678.0702848
30,30,1,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000126.0,1689289318.8153431,1689289324.7402954,8,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000136.0,1689287708.1424773,1689287726.5842853
31,31,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000127.0,1689289332.09937,1689289344.2287898,3,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000130.0,1689289463.910966,1689289471.6494863
32,32,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000127.0,1689289332.09937,1689289344.2287898,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000131.0,1689289492.026406,1689289498.5516896
33,33,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000127.0,1689289332.09937,1689289344.2287898,5,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000132.0,1689289511.1360555,1689289521.8765376
34,34,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000127.0,1689289332.09937,1689289344.2287898,6,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000133.0,1689289549.5415916,1689289554.4763205
35,35,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000127.0,1689289332.09937,1689289344.2287898,7,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000134.0,1689289561.4090374,1689289575.4072025
36,36,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000127.0,1689289332.09937,1689289344.2287898,0,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000126.0,1689287356.0370624,1689287374.8369002
37,37,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000127.0,1689289332.09937,1689289344.2287898,1,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000127.0,1689287397.9374988,1689287404.4024866
38,38,2,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000127.0,1689289332.09937,1689289344.2287898,2,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000128.0,1689287414.4769855,1689287422.9687243
